port code,service code,vessel code ,vessel name,next port,comence time,schedule arrival,gsis sch arr,finish time,schedule dep,gsis sch dep,buffer,time,idle time
DEBRVTM,AE10,1NM,MARSTAL MAERSK,WHILEMSHAVEN,2/13/2018 14:00,2/13/2018 13:00,SCH,2/13/2018 19:00,2/13/2018 19:00,SCH,5,22:10,340
DEBRVTM,AE7/CSK,788,Ebba Maersk,Hamburg,2/13/2018 23:00,2/13/2018 22:00,ACT,2/14/2018 22:00,2/14/2018 22:00,SCH,12,,23
DEHAMEK,AE5,544,Majestic,Tilbury,2/13/2018 15:00,2/13/2018 15:00,sch,2/15/2018 22:00,2/15/2018 22:00,sch,12,,356
GBTBY01,AE1O,1NM,MARSTAL MAERSK,Rotterdam,2/14/2018 17:00,2/14/2018 15:00,act,2/15/2018 22:00,2/15/2018 22:00,sch,14,22:10,2
DEBRVTM,AE10,1NM,Maersk Penang,WHILEMSHAVEN,2/13/2018 13:00,2/13/2018 13:00,SCH,2/13/2018 19:00,2/13/2018 19:00,SCH,5,22:10,3
DEBRVTM,AE7/CSK,788,emma,Hamburg,2/13/2018 22:00,2/13/2018 22:00,ACT,2/14/2018 22:00,2/14/2018 22:00,SCH,12,,13
DEHAMEK,AE5,544,vasil,Tilbury,2/13/2018 15:00,2/13/2018 15:00,sch,2/15/2018 22:00,2/15/2018 22:00,sch,12,,45
GBTBY01,AE1O,1NM,pavlina,Rotterdam,2/14/2018 15:00,2/14/2018 15:00,act,2/15/2018 22:00,2/15/2018 22:00,sch,14,22:10,678
DEBRVTM,AE10,1NM,MARSTAL MAERSK,WHILEMSHAVEN,2/13/2018 13:00,2/13/2018 13:00,SCH,2/13/2018 19:00,2/13/2018 19:00,SCH,5,22:10,6
DEHAMFRU,AE7/CSK,788,Ebba Maersk,Hamburg,2/15/2018 22:00,2/15/2018 22:00,ACT,2/16/2018 22:00,2/16/2018 22:00,SCH,12,,5
DEHAMEK,AE5,544,VANESA,Tilbury,2/13/2018 15:00,2/13/2018 15:00,sch,2/15/2018 22:00,2/15/2018 22:00,sch,12,,4
